"ODD";"INDICATEUR_DEVDUR";"UNIT_MEASURE";"UNIT_MULT";"OBS_STATUS";"GEO";"GEO_OBJECT";"DEVDUR_COMPOSITE";"SEX";"AGE";"EMPSTA";"PCS";"TYPE_INDICATEUR_DEVDUR";"TIME_PERIOD";"OBS_VALUE"
"ODD3";"3.i2";"_Z";"0";"E";"F";"FRANCE";"_Z";"M_cis";"_T";"_Z";"_Z";"I_ODD";2020;3397
"ODD5";"5.i1";"PT";"0";"A";"F_X_D976";"FRANCE";"_Z";"F";"_T";"_Z";"_Z";"I_ODD";2014;15.5
"ODD10";"10.i5";"PT";"0";"A";"F";"FRANCE";"_Z";"_T";"Y15T29";"_Z";"_Z";"I_ODD";2017;97.5
"ODD3";"3.i6";"_Z";"0";"A";"FM";"FRANCE";"_Z";"_T";"Y25T44";"_Z";"_Z";"I_ODD";2020;679
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"_Z";"M";"Y18T75";"_T";"_Z";"I_ODD";2018;28.2
"ODD10";"10.i4";"PT";"0";"A";"F";"FRANCE";"_Z";"M";"Y_GE15";"_Z";"_Z";"I_ODD";2015;76.3
"ODD3";"3.i5";"PT";"0";"L";"FM";"FRANCE";"ALCOOL_CONS1";"_T";"Y18T75";"_Z";"_Z";"I_ODD";2023;
"ODD2";"2.i2b";"PT";"0";"L";"FM";"FRANCE";"_Z";"_T";"Y_GE15";"_Z";"_Z";"I_ODD";2024;
"ODD4";"4.i1c";"PT";"0";"A";"F";"FRANCE";"_Z";"_T";"Y15";"_Z";"_Z";"I_ODD";2012;81.1
"ODD8";"8.i8";"PT";"0";"R";"F";"FRANCE";"EMP_AIDE3";"_T";"Y_LT26";"_Z";"_Z";"I_ODD";2019;0
"ODD2";"2.i2c";"PT";"0";"L";"F";"FRANCE";"_Z";"_T";"_Z";"_Z";"4";"I_ODD";2020;
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_Z";"M";"Y45T54";"_T";"_Z";"I_ODD";2011;
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_Z";"M";"Y55T64";"_T";"_Z";"I_ODD";2012;
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_Z";"_T";"Y18T75";"_T";"_Z";"I_ODD";2023;
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"3_X_353";"_T";"Y18T75";"_T";"_Z";"I_ODD";2021;24.9
"ODD3";"3.i3";"P100000";"0";"A";"F";"FRANCE";"_Z";"F";"_Z";"_Z";"_Z";"I_ODD";2019;6.1
"ODD1";"1.i4";"PT";"0";"L";"FM";"FRANCE";"REV_Q3";"_T";"_T";"_Z";"_Z";"I_ODD";2014;
"ODD3";"3.i3";"P100000";"0";"L";"F";"FRANCE";"_Z";"_T";"_T";"_Z";"_Z";"I_ODD";2024;
"ODD4";"4.i1b";"PT";"0";"A";"F_X_D976";"FRANCE";"_Z";"_T";"_Z";"_Z";"_Z";"I_ODD";2019;57
"ODD4";"4.i1d";"PT";"0";"L";"F";"FRANCE";"SESC1";"_T";"Y15";"_Z";"_Z";"I_ODD";2023;
"ODD2";"2.i2b";"PT";"0";"L";"FM";"FRANCE";"_Z";"_T";"Y_GE15";"_Z";"_Z";"I_ODD";2016;
"ODD9";"9.i6c";"XDC";"6";"A";"F";"FRANCE";"OBJ_SOCECO2";"_Z";"_Z";"_Z";"_Z";"I_ODD";2015;246.6
"ODD8";"8.i1";"PT";"0";"A";"F";"FRANCE";"_Z";"_Z";"_Z";"_Z";"_Z";"I_ODD";2019;1.631212
"ODD9";"9.i6c";"XDC";"6";"A";"F";"FRANCE";"OBJ_SOCECO8";"_Z";"_Z";"_Z";"_Z";"I_ODD";2010;312.1
"ODD1";"1.i1b";"PT";"0";"A";"FM";"FRANCE";"NIVIEMED_S50";"_T";"Y_GE75";"_T";"_T";"I_ODD";2013;3.2
"ODD4";"4.i1d";"PT";"0";"A";"F";"FRANCE";"SESC2";"_T";"Y15";"_Z";"_Z";"I_ODD";2022;66.2
"ODD17";"17.i2b";"_Z";"0";"A";"F";"FRANCE";"APD_CAD310-520";"_Z";"_Z";"_Z";"_Z";"I_ODD";2018;343.7
"ODD8";"8.i3";"PT";"0";"A";"F_X_D976";"FRANCE";"_Z";"M";"Y_GE15";"_Z";"_Z";"I_ODD";2020;7.3
"ODD5";"5.i5b";"PT";"0";"A";"F_X_D976";"FRANCE";"FPT";"F";"_T";"_Z";"_Z";"I_ODD";2020;33
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"_Z";"M";"Y35T44";"_T";"_Z";"I_ODD";2016;38.9
"ODD5";"5.i2";"PT";"0";"A";"F";"FRANCE";"SC_DISC1";"F";"_T";"_Z";"_Z";"I_ODD";2013;21.4
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_Z";"F";"Y18T75";"_T";"_Z";"I_ODD";2024;
"ODD2";"2.i2b";"PT";"0";"L";"FM";"FRANCE";"_Z";"F";"Y_GE15";"_Z";"_Z";"I_ODD";2024;
"ODD3";"3.i6";"_Z";"0";"A";"FM";"FRANCE";"_Z";"_T";"Y25T44";"_Z";"_Z";"I_ODD";2014;1041
"ODD3";"3.i5";"PT";"0";"L";"FM";"FRANCE";"ALCOOL_CONS3";"_T";"Y18T75";"_Z";"_Z";"I_ODD";2019;
